id,exact+AF8-time+AF8-before+AF8-event,exact+AF8-time+AF8-after+AF8-event,model+AF8-type,val+AF8-fold,in+AF8-channels,hidden+AF8-channels,hidden+AF8-size,kernel+AF8-sizes,d+AF8-model,nhead,num+AF8-layers,bidirectional,dim+AF8-feedforward,dropout+AF8-rate
201630,150,100,LSTM,1,28,64,,,,,4,True,,+ACI-0,3+ACI-
201640,2500,0,LSTM,0,28,128,,,,,5,False,,+ACI-0,5+ACI-
201650,700,50,LSTM,1,28,256,,,,,2,False,,+ACI-0,3+ACI-
201660,1200,300,LSTM,1,28,16,,,,,3,True,,+ACI-0,5+ACI-
201670,2500,0,LSTM,2,28,32,,,,,4,False,,+ACI-0,5+ACI-
201680,600,150,LSTM,0,28,64,,,,,5,True,,+ACI-0,4+ACI-
201690,100,0,LSTM,1,28,128,,,,,2,True,,+ACI-0,3+ACI-
201700,1200,300,LSTM,0,28,256,,,,,3,False,,+ACI-0,5+ACI-
201710,100,0,LSTM,0,28,16,,,,,4,True,,+ACI-0,4+ACI-
201720,700,50,LSTM,1,28,32,,,,,5,False,,+ACI-0,5+ACI-
201730,2200,300,LSTM,2,28,64,,,,,2,False,,+ACI-0,5+ACI-
201740,2900,100,LSTM,0,28,128,,,,,3,True,,+ACI-0,4+ACI-
201750,1800,200,LSTM,0,28,256,,,,,4,False,,+ACI-0,3+ACI-
201760,1200,300,LSTM,1,28,16,,,,,5,True,,+ACI-0,3+ACI-
201770,750,0,LSTM,0,28,32,,,,,2,True,,+ACI-0,3+ACI-
201780,1900,100,LSTM,1,28,64,,,,,3,False,,+ACI-0,5+ACI-
201790,450,300,LSTM,2,28,128,,,,,4,True,,+ACI-0,5+ACI-
201800,750,0,LSTM,1,28,256,,,,,5,False,,+ACI-0,3+ACI-
201810,100,0,LSTM,2,28,16,,,,,2,False,,+ACI-0,4+ACI-
201820,650,100,LSTM,0,28,32,,,,,3,True,,+ACI-0,5+ACI-
201830,700,50,LSTM,1,28,64,,,,,4,False,,+ACI-0,3+ACI-
201840,2000,0,LSTM,0,28,128,,,,,5,True,,+ACI-0,5+ACI-
201850,2000,0,LSTM,1,28,256,,,,,2,True,,+ACI-0,4+ACI-
201860,650,100,LSTM,2,28,16,,,,,3,False,,+ACI-0,5+ACI-
201870,350,150,LSTM,1,28,32,,,,,4,True,,+ACI-0,4+ACI-
201880,550,200,LSTM,2,28,64,,,,,5,False,,+ACI-0,4+ACI-
201890,650,100,LSTM,1,28,128,,,,,2,False,,+ACI-0,3+ACI-
201900,350,150,LSTM,2,28,256,,,,,3,True,,+ACI-0,4+ACI-
201910,1900,100,LSTM,0,28,16,,,,,4,False,,+ACI-0,5+ACI-
201920,900,100,LSTM,2,28,32,,,,,5,True,,+ACI-0,5+ACI-
201930,550,200,LSTM,0,28,64,,,,,2,True,,+ACI-0,5+ACI-
201940,550,200,LSTM,1,28,128,,,,,3,False,,+ACI-0,4+ACI-
